2025-12-21 00:24:56 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-21 00:24:56 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.12 with PID 32428 (D:\后端代码-dxm-大二上\dxm-houduan\ruoyi-admin-wms\target\classes started by 86191 in D:\后端代码-dxm-大二上\dxm-houduan)
2025-12-21 00:24:56 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-12-21 00:25:02 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-21 00:25:03 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-21 00:25:03 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-21 00:25:04 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@49c6ee4a
2025-12-21 00:25:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-21 00:25:04 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-21 00:25:04 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-21 00:25:07 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-21 00:25:07 [main] INFO  org.redisson.Version - Redisson 3.29.0
2025-12-21 00:25:07 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-21 00:25:07 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-21 00:25:09 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-21 00:25:11 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2025-12-21 00:25:11 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2025-12-21 00:25:11 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2025-12-21 00:25:12 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-12-21 00:25:12 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 16.343 seconds (process running for 17.77)
2025-12-21 00:25:12 [main] INFO  p6spy - 2025-12-21 00:25:12|32|statement|connection 0|url jdbc:mysql://127.0.0.1:3306/studyr3q1?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config
2025-12-21 00:25:12 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-12-21 00:25:12 [main] INFO  p6spy - 2025-12-21 00:25:12|3|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/studyr3q1?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  config_id,config_name,config_key,config_value,config_type,remark,create_by,create_time,update_by,update_time  FROM sys_config           ORDER BY config_id ASC|SELECT  config_id,config_name,config_key,config_value,config_type,remark,create_by,create_time,update_by,update_time  FROM sys_config           ORDER BY config_id ASC
2025-12-21 00:25:12 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-12-21 00:25:12 [main] INFO  p6spy - 2025-12-21 00:25:12|7|statement|connection 2|url jdbc:mysql://127.0.0.1:3306/studyr3q1?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  dict_code,dict_sort,dict_label,dict_value,dict_type,css_class,list_class,is_default,status,remark,create_by,create_time,update_by,update_time  FROM sys_dict_data      WHERE  (status = ?)|SELECT  dict_code,dict_sort,dict_label,dict_value,dict_type,css_class,list_class,is_default,status,remark,create_by,create_time,update_by,update_time  FROM sys_dict_data      WHERE  (status = '1')
2025-12-21 00:25:12 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-12-21 00:30:00 [schedule-pool-1] INFO  com.ruoyi.wms.task.CoinSyncTask - 开始执行定时同步硬币数据任务
2025-12-21 00:30:00 [schedule-pool-1] INFO  c.ruoyi.wms.service.CoinServiceImpl - 开始同步硬币数据
2025-12-21 00:30:00 [schedule-pool-1] INFO  c.ruoyi.wms.service.CoinServiceImpl - 调用Dify API获取硬币数据
2025-12-21 00:30:00 [schedule-pool-1] INFO  c.ruoyi.wms.service.CoinServiceImpl - 开始调用Dify API，URL: http://localhost:8000/v1/chat-messages
2025-12-21 00:30:00 [schedule-pool-1] INFO  com.ruoyi.wms.task.CoinSyncTask - 定时同步硬币数据任务执行完成，共同步0条数据
2025-12-21 00:59:59 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-21 00:59:59 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /coins/postDifyApi],参数类型[json],参数:["654321"]
2025-12-21 01:00:00 [schedule-pool-2] INFO  com.ruoyi.wms.task.CoinSyncTask - 开始执行定时同步硬币数据任务
2025-12-21 01:00:00 [schedule-pool-2] INFO  c.ruoyi.wms.service.CoinServiceImpl - 开始同步硬币数据
2025-12-21 01:00:00 [schedule-pool-2] INFO  c.ruoyi.wms.service.CoinServiceImpl - 调用Dify API获取硬币数据
2025-12-21 01:00:00 [schedule-pool-2] INFO  c.ruoyi.wms.service.CoinServiceImpl - 开始调用Dify API，URL: http://localhost:8000/v1/chat-messages
2025-12-21 01:00:00 [schedule-pool-2] INFO  com.ruoyi.wms.task.CoinSyncTask - 定时同步硬币数据任务执行完成，共同步0条数据
2025-12-21 01:00:01 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /coins/postDifyApi],耗时:[1146]毫秒
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.3.13.Final
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  c.r.c.core.config.ThreadPoolConfig - ====关闭后台任务任务线程池====
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2025-12-21 01:04:23 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-12-21 01:04:27 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-21 01:04:27 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.12 with PID 35124 (D:\后端代码-dxm-大二上\dxm-houduan\ruoyi-admin-wms\target\classes started by 86191 in D:\后端代码-dxm-大二上\dxm-houduan)
2025-12-21 01:04:27 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-12-21 01:04:33 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-21 01:04:34 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-21 01:04:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-21 01:04:35 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@56ed2baf
2025-12-21 01:04:35 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-21 01:04:35 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-21 01:04:35 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-21 01:04:39 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-21 01:04:40 [main] INFO  org.redisson.Version - Redisson 3.29.0
2025-12-21 01:04:40 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-21 01:04:40 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2025-12-21 01:04:45 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-21 01:04:51 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2025-12-21 01:04:51 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2025-12-21 01:04:51 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2025-12-21 01:04:51 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-12-21 01:04:52 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 25.608 seconds (process running for 26.754)
2025-12-21 01:04:52 [main] INFO  p6spy - 2025-12-21 01:04:52|29|statement|connection 0|url jdbc:mysql://127.0.0.1:3306/studyr3q1?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,create_by,create_time,update_by,update_time  FROM sys_oss_config
2025-12-21 01:04:52 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
